Name,Win %,patch
EliseElise,60.83%,13.3
EvelynnEvelynn,46.71%,13.3
EzrealEzreal,53.68%,13.3
FiddlesticksFiddlesticks,41.67%,13.3
FiddlesticksFiddlesticks,28.00%,13.3
FioraFiora,50.49%,13.3
FizzFizz,45.45%,13.3
GalioGalio,47.66%,13.3
GangplankGangplank,52.69%,13.3
GarenGaren,41.25%,13.3
GnarGnar,48.78%,13.3
GragasGragas,53.27%,13.3
GragasGragas,54.35%,13.3
GravesGraves,45.11%,13.3
GwenGwen,57.24%,13.3
HecarimHecarim,49.47%,13.3
HeimerdingerHeimerdinger,57.93%,13.3
HeimerdingerHeimerdinger,48.65%,13.3
HeimerdingerHeimerdinger,32.14%,13.3
HeimerdingerHeimerdinger,45.45%,13.3
IllaoiIllaoi,47.09%,13.3
IreliaIrelia,51.79%,13.3
IreliaIrelia,55.02%,13.3
IvernIvern,44.19%,13.3
JannaJanna,54.10%,13.3
Jarvan IVJarvan IV,53.41%,13.3
JaxJax,53.77%,13.3
JayceJayce,48.43%,13.3
JayceJayce,57.59%,13.3
JhinJhin,54.18%,13.3
JinxJinx,50.27%,13.3
K'SanteK'Sante,52.48%,13.3
K'SanteK'Sante,51.52%,13.3
Kai'SaKai'Sa,51.58%,13.3
KalistaKalista,50.63%,13.3
KarmaKarma,48.80%,13.3
KarthusKarthus,51.33%,13.3
KarthusKarthus,50.00%,13.3
KarthusKarthus,55.04%,13.3
KassadinKassadin,50.45%,13.3
KatarinaKatarina,52.06%,13.3
KayleKayle,56.14%,13.3
KayleKayle,43.59%,13.3
KaynKayn,50.55%,13.3
KennenKennen,60.61%,13.3
Kha'ZixKha'Zix,51.83%,13.3
KindredKindred,51.47%,13.3
